,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
1,Golden Gai Sushi,NULL,3.9,32,"1144 W 18th St, Chicago, IL 60608, USA",41.8581737,-87.6552422
133,Hollywood Food Mart,NULL,3.9,8,"606 E 79th St, Chicago, IL 60619, USA",41.7514215,-87.6096305
188,Sun Submarine,NULL,3.9,187,"321 N Laramie Ave, Chicago, IL 60644, USA",41.8863695,-87.7550735
262,Sharks (Fish & Chicken),NULL,3.9,39,"344 E 95th St, Chicago, IL 60619, USA",41.7220936,-87.6148992
300,Joe Willies Seafood WestTown,NULL,3.9,262,"337 S Sacramento Blvd, Chicago, IL 60612, USA",41.8762353,-87.7006593
438,Le Paris Bakery,NULL,3.9,63,"5434 S Pulaski Rd, Chicago, IL 60632, USA",41.7970224,-87.7238727
555,Ramirez Fast Food,NULL,3.9,109,"1521 W Grand Ave, Chicago, IL 60642, USA",41.8908333,-87.6663889
565,K I AFRICAN RESTAURANT,NULL,3.9,48,"7137 N Clark St, Chicago, IL 60626, USA",42.012444,-87.6744097
606,Fulton Market Kitchen,NULL,3.9,140,"311 N Sangamon St, Chicago, IL 60607, USA",41.8872126,-87.6506241
1039,Seafood city,NULL,3.9,51,"1233 W 99th St, Chicago, IL 60643, USA",41.7138854,-87.6539809
1218,JERK UR SOUL,NULL,3.9,26,"1442 W 103rd St, Chicago, IL 60643, USA",41.7069747,-87.6592586
71,Domino's Pizza,1,4,543,"4608 W Fullerton Ave, Chicago, IL 60639, USA",41.9247098,-87.7420172
125,Tea Ninja,1,4,147,"3139 N Broadway, Chicago, IL 60657, USA",41.9387908,-87.6442114
128,Hilltop Restaurant,1,4,237,"2800 W Foster Ave, Chicago, IL 60625, USA",41.9759717,-87.6991742
131,Chicago's Chicken Coop 87th Street,1,4,535,"3300 W 87th St, Chicago, IL 60652, USA",41.735471,-87.705279
164,Sharks Fish & Chicken,1,4,370,"250 E 35th St, Chicago, IL 60616, USA",41.831278,-87.619792
197,Krispy Krunchy Chicken,1,4,163,"1840 W Peterson Ave, Chicago, IL 60660, USA",41.9909834,-87.6767208
298,Giovanni's Pizza,1,4,208,"7004 W Diversey Ave, Chicago, IL 60707, USA",41.9310049,-87.8012886
377,Los Arcos,1,4,326,"5525 N Clark St, Chicago, IL 60640, USA",41.9824571,-87.6682567
393,Di Vita's Restaurant,1,4,181,"3753 W Belmont Ave, Chicago, IL 60618, USA",41.9389089,-87.7217062
394,Yummy Thai,1,4,303,"1418 W Taylor St, Chicago, IL 60607, USA",41.869445,-87.6624442
416,Three Happiness Restaurant,1,4,1081,"209 W Cermak Rd, Chicago, IL 60616, USA",41.8526308,-87.632446
569,Salam Restaurant,1,4,1194,"4636 N Kedzie Ave, Chicago, IL 60625, USA",41.965781,-87.708845
674,Gourmet Food,1,4,125,"210 W 23rd St, Chicago, IL 60616, USA",41.851122,-87.632482
730,Pepe's Mexican Restaurant,1,4,455,"7026 W Archer Ave, Chicago, IL 60638, USA",41.7922619,-87.7975091
759,Happy Cafe,1,4,50,"2351 S Wentworth Ave, Chicago, IL 60616, USA",41.8495959,-87.6317108
762,Big Tony's Pizza II,1,4,176,"3732 W 59th St, Chicago, IL 60629, USA",41.7861365,-87.716935
